bin	name	chrom	strand	txStart	txEnd	name2
842	NM_001080438	chr1	-	33772366	33786699	A3GALT2
682	NR_111984	chr1	+	12776117	12788726	AADACL3
682	NM_001103170	chr1	+	12776117	12788726	AADACL3
85	NM_001013630	chr1	+	12704565	12727097	AADACL4
163	NM_000350	chr1	-	94458393	94586705	ABCA4
2337	NM_012089	chr1	-	229652328	229694442	ABCB10
163	NM_001122674	chr1	+	94883932	94944260	ABCD3
163	NM_002858	chr1	+	94883932	94984219	ABCD3
1951	NM_001136000	chr1	-	179068461	179112224	ABL2
1951	NM_005158	chr1	-	179068461	179112224	ABL2
243	NM_001168236	chr1	-	179068461	179198819	ABL2
243	NM_001168237	chr1	-	179068461	179198819	ABL2
243	NM_001168238	chr1	-	179068461	179198819	ABL2
243	NM_007314	chr1	-	179068461	179198819	ABL2
1951	NM_001168239	chr1	-	179068461	179112224	ABL2
243	NM_001136001	chr1	-	179079715	179198819	ABL2
1166	NM_000016	chr1	+	76190031	76229363	ACADM
1166	NM_001127328	chr1	+	76190031	76229363	ACADM
1166	NM_001286042	chr1	+	76190031	76229363	ACADM
1166	NM_001286043	chr1	+	76190031	76229363	ACADM
1166	NM_001286044	chr1	+	76190031	76229363	ACADM
594	NM_030649	chr1	-	1227763	1243269	ACAP3
288	NM_022735	chr1	-	226332379	226374423	ACBD3
30	NM_032360	chr1	-	180257351	180472022	ACBD6
1799	NM_002036	chr1	+	159173802	159176290	ACKR1
1799	NM_001122951	chr1	+	159175048	159176290	ACKR1
125	NM_147161	chr1	+	55013806	55076005	ACOT11
125	NM_015547	chr1	+	55013806	55100417	ACOT11
633	NM_181865	chr1	-	6324331	6420764	ACOT7
79	NM_181864	chr1	-	6324331	6445883	ACOT7
79	NM_007274	chr1	-	6324331	6453826	ACOT7
633	NM_181866	chr1	-	6324331	6419004	ACOT7
1707	NM_001323625	chr1	-	147119167	147142665	ACP6
1707	NM_016361	chr1	-	147119167	147142634	ACP6
1707	NR_136636	chr1	-	147119167	147142665	ACP6
1707	NR_136633	chr1	-	147119167	147142665	ACP6
1707	NR_136634	chr1	-	147119167	147142665	ACP6
1707	NR_136635	chr1	-	147119167	147142665	ACP6
2336	NM_001100	chr1	-	229566992	229569843	ACTA1
795	NR_033926	chr1	+	27650364	27653016	ACTG1P20
1379	NR_024438	chr1	+	104112025	104114008	ACTG1P4
90	NM_030812	chr1	+	18081807	18153558	ACTL8
2392	NM_001103	chr1	+	236849753	236927927	ACTN2
2392	NM_001278343	chr1	+	236849753	236927927	ACTN2
2392	NM_001278344	chr1	+	236849753	236927927	ACTN2
607	NM_080431	chr1	+	2938045	2939467	ACTRT2
1767	NM_001261466	chr1	+	155023747	155031159	ADAM15
1767	NM_001261464	chr1	+	155023747	155035252	ADAM15
1767	NM_001261465	chr1	+	155023747	155035252	ADAM15
1767	NM_003815	chr1	+	155023747	155035252	ADAM15
1767	NM_207191	chr1	+	155023747	155035252	ADAM15
1767	NM_207194	chr1	+	155023747	155035252	ADAM15
1767	NM_207195	chr1	+	155023747	155035252	ADAM15
1767	NM_207196	chr1	+	155023747	155035252	ADAM15
1767	NM_207197	chr1	+	155023747	155035252	ADAM15
1767	NR_048577	chr1	+	155023747	155035252	ADAM15
1767	NR_048578	chr1	+	155023747	155035252	ADAM15
1767	NR_048579	chr1	+	155023747	155035252	ADAM15
1503	NM_021794	chr1	-	120436155	120439147	ADAM30
1814	NM_001320336	chr1	-	161159518	161168843	ADAMTS4
1814	NM_005099	chr1	-	161159518	161168843	ADAMTS4
1733	NM_025008	chr1	+	150521844	150531224	ADAMTSL4
1733	NM_001288607	chr1	+	150521844	150533412	ADAMTSL4
1733	NM_001288608	chr1	+	150521844	150533412	ADAMTSL4
1733	NM_019032	chr1	+	150521844	150533412	ADAMTSL4
1733	NR_104133	chr1	-	150533370	150547028	ADAMTSL4-AS1
1764	NM_001193495	chr1	-	154554533	154578776	ADAR
1764	NM_001111	chr1	-	154554533	154580724	ADAR
1764	NM_015840	chr1	-	154554533	154580724	ADAR
1764	NM_015841	chr1	-	154554533	154580724	ADAR
1764	NM_001025107	chr1	-	154554533	154600456	ADAR
289	NM_020247	chr1	+	227127937	227175246	ADCK3
1865	NM_018417	chr1	-	167778624	167883464	ADCY10
1865	NM_001167749	chr1	-	167778624	167883464	ADCY10
1865	NM_001297772	chr1	-	167778624	167883464	ADCY10
830	NM_001294335	chr1	-	32192705	32229664	ADGRB2
830	NM_001294336	chr1	-	32192705	32229664	ADGRB2
151	NM_001297704	chr1	+	82165454	82458422	ADGRL2
151	NM_001297705	chr1	+	82266081	82458422	ADGRL2
151	NM_012302	chr1	+	82266081	82458422	ADGRL2
151	NM_001297706	chr1	+	82266081	82458422	ADGRL2
148	NM_022159	chr1	-	79355448	79472495	ADGRL4
2133	NM_001290553	chr1	-	202909952	202927112	ADIPOR1
2133	NM_015999	chr1	-	202909952	202927524	ADIPOR1
2133	NM_001290629	chr1	-	202909952	202927700	ADIPOR1
2133	NM_001290557	chr1	-	202909952	202927524	ADIPOR1
2134	NM_000674	chr1	+	203096835	203136533	ADORA1
2134	NM_001048230	chr1	+	203096835	203136533	ADORA1
1439	NM_000677	chr1	-	112042050	112046743	ADORA3
1439	NM_001302678	chr1	-	112042050	112046743	ADORA3
1439	NM_001302679	chr1	-	112042050	112046743	ADORA3
863	NM_017825	chr1	+	36554452	36559533	ADPRHL2
306	NM_001126	chr1	-	244571793	244615436	ADSS
1	NM_001323573	chr1	-	48998526	50489626	AGBL4
1	NM_001323574	chr1	-	48998526	50489626	AGBL4
1	NM_001323575	chr1	-	48998526	50489626	AGBL4
1	NR_136623	chr1	-	48998526	50489626	AGBL4
1	NM_032785	chr1	-	48998526	50489626	AGBL4
965	NR_046839	chr1	-	49839872	49937757	AGBL4-IT1
1350	NM_000642	chr1	+	100315639	100389579	AGL
1350	NM_000028	chr1	+	100316044	100389579	AGL
1350	NM_000643	chr1	+	100316044	100389579	AGL
1350	NM_000645	chr1	+	100326765	100389579	AGL
1350	NM_000646	chr1	+	100316530	100389579	AGL
1350	NM_000644	chr1	+	100316044	100389579	AGL
706	NM_024758	chr1	-	15898193	15911605	AGMAT
862	NM_001317123	chr1	+	36335408	36389899	AGO1
862	NM_001317122	chr1	+	36348795	36389899	AGO1
862	NM_012199	chr1	+	36348795	36389899	AGO1
107	NM_024852	chr1	+	36396682	36522063	AGO3
107	NM_177422	chr1	+	36396682	36522063	AGO3
107	NM_017629	chr1	+	36273827	36323490	AGO4
592	NM_198576	chr1	+	955502	991499	AGRN
592	NM_001305275	chr1	+	955502	991499	AGRN
2346	NM_000029	chr1	-	230838271	230850336	AGT
84	NM_001040194	chr1	+	11796141	11810828	AGTRAP
84	NM_001040195	chr1	+	11796141	11810828	AGTRAP
84	NM_001040196	chr1	+	11796141	11810828	AGTRAP
84	NM_001040197	chr1	+	11796141	11810828	AGTRAP
84	NM_020350	chr1	+	11796141	11810828	AGTRAP
308	NM_015446	chr1	-	247002401	247094726	AHCTF1
308	NM_001323342	chr1	-	247002399	247095280	AHCTF1
308	NM_001323343	chr1	-	247002399	247095280	AHCTF1
308	NR_136586	chr1	-	247002399	247095280	AHCTF1
1428	NM_001242673	chr1	+	110527386	110566364	AHCYL1
1428	NM_006621	chr1	+	110527386	110566364	AHCYL1
1428	NM_001242674	chr1	+	110543548	110566364	AHCYL1
1428	NM_001242675	chr1	+	110546569	110566364	AHCYL1
1428	NM_001242676	chr1	+	110546569	110566364	AHCYL1
99	NM_001029882	chr1	-	27860755	27930005	AHDC1
2285	NM_022831	chr1	-	222841354	222885864	AIDA
788	NM_001039775	chr1	-	26648349	26680621	AIM1L
1798	NM_004833	chr1	-	159032274	159046647	AIM2
77	NM_001042478	chr1	+	4715104	4837854	AJAP1
77	NM_018836	chr1	+	4715104	4843851	AJAP1
840	NM_001199199	chr1	-	33473540	33502512	AK2
840	NM_001319139	chr1	-	33473540	33502512	AK2
840	NM_001319141	chr1	-	33473540	33502512	AK2
840	NM_001319142	chr1	-	33473540	33502512	AK2
840	NM_013411	chr1	-	33473540	33502512	AK2
840	NR_134976	chr1	-	33473540	33502512	AK2
840	NM_001319140	chr1	-	33476825	33502512	AK2
840	NM_001319143	chr1	-	33478644	33502512	AK2
840	NM_001625	chr1	-	33476825	33502512	AK2
135	NM_203464	chr1	+	65613231	65697828	AK4
135	NM_001005353	chr1	+	65613512	65697828	AK4
135	NM_013410	chr1	+	65613849	65697828	AK4
147	NM_174858	chr1	+	77747661	78025654	AK5
147	NM_012093	chr1	+	77748286	78025654	AK5
886	NM_001136275	chr1	+	39456915	39471737	AKIRIN1
886	NM_024595	chr1	+	39456915	39471737	AKIRIN1
1419	NM_152763	chr1	-	109358519	109399726	AKNAD1
1419	NR_049760	chr1	-	109358519	109400864	AKNAD1
936	NM_006066	chr1	+	46016454	46035723	AKR1A1
936	NM_153326	chr1	+	46016454	46035723	AKR1A1
936	NM_001202413	chr1	+	46016454	46035723	AKR1A1
936	NM_001202414	chr1	+	46016454	46035723	AKR1A1
734	NM_001320979	chr1	-	19629201	19638640	AKR7A2
734	NM_003689	chr1	-	19629201	19638640	AKR7A2
1450	NR_002796	chr1	+	113465971	113467295	AKR7A2P1
734	NM_012067	chr1	-	19609056	19615280	AKR7A3
734	NR_040288	chr1	-	19592475	19600568	AKR7L
734	NR_040289	chr1	-	19592475	19600568	AKR7L
305	NM_181690	chr1	-	243651534	244006584	AKT3
305	NM_005465	chr1	-	243663020	244006584	AKT3
305	NM_001206729	chr1	-	243663020	244006886	AKT3
731	NM_001161504	chr1	-	19197923	19217385	ALDH4A1
731	NM_001319218	chr1	-	19197923	19229293	ALDH4A1
731	NM_003748	chr1	-	19197923	19229293	ALDH4A1
731	NM_170726	chr1	-	19197923	19229293	ALDH4A1
1848	NM_000696	chr1	-	165631448	165667900	ALDH9A1
1313	NM_001305242	chr1	-	95448278	95538507	ALG14
1313	NR_131032	chr1	-	95448278	95538507	ALG14
1313	NM_144988	chr1	-	95448278	95538507	ALG14
1072	NM_013339	chr1	+	63833260	63904233	ALG6
93	NM_000478	chr1	+	21835850	21904905	ALPL
93	NM_001127501	chr1	+	21835850	21904905	ALPL
